User_ID,Transaction_ID,Date,Product_ID,Quantity
#14,ye2z9,1/1/2023,A,3
#17,2yb1J,1/1/2023,E,3
#1,EhrXU,1/1/2023,C,4
#5,9tNQZ,1/1/2023,D,2
#17,Mv68i,1/2/2023,A,3
#16,HR2NA,1/2/2023,E,2
#6,opupp,1/2/2023,A,2
#16,ocefr,1/3/2023,E,1
#12,aFHmx,1/3/2023,B,4
#8,wNOL4,1/3/2023,C,3
#5,f2W6h,1/4/2023,C,4
#2,vdMRh,1/4/2023,C,2
#10,hnBxR,1/4/2023,D,2
#3,dmuSq,1/5/2023,D,2
#16,uphKe,1/5/2023,B,4
#17,D7wOJ,1/5/2023,D,4
#3,sZ00H,1/6/2023,A,3
#19,UDh5n,1/7/2023,D,3
#15,aoq8V,1/7/2023,B,2
#8,H6rWS,1/7/2023,A,4
#6,q4RSP,1/7/2023,C,4
#19,hbg1P,1/8/2023,D,3
#17,2kdiQ,1/8/2023,C,1
#10,PT8Ge,1/9/2023,A,4
#8,hAXQ2,1/10/2023,D,4
#13,WCcJ4,1/10/2023,C,3
#1,hyXzF,1/10/2023,D,3
#12,f8zUX,1/11/2023,B,1
#4,mDYuC,1/11/2023,E,1
#8,DFZej,1/12/2023,E,1
#6,ius35,1/12/2023,D,1
#3,F0ZlH,1/12/2023,E,
#3,luPb1,1/12/2023,D,2
#17,W4BlP,1/13/2023,C,1
#12,M9vOL,1/13/2023,E,
#1,Swe6T,1/13/2023,B,4
#16,Ff4bk,1/14/2023,E,4
#2,Gs3Of,1/14/2023,A,3
#9,04uHr,1/15/2023,E,3
#10,RLfJZ,1/15/2023,B,1
#6,J6CVe,1/15/2023,D,1
#8,u5HAR,1/16/2023,C,1
#6,HQ8gE,1/17/2023,D,2
#12,hyshQ,1/17/2023,B,1
#1,emwIw,1/17/2023,D,4
#17,nrPt9,1/18/2023,C,4
#15,hlM5s,1/18/2023,D,
#14,KhX6O,1/19/2023,C,
#2,G2L8Z,1/20/2023,E,
#14,yt6j0,1/20/2023,B,3
#15,424Ie,1/20/2023,D,4
#9,WY6QV,1/20/2023,E,3
#11,qpNgj,1/21/2023,A,4
#10,wKDLI,1/21/2023,D,3
#13,XEDNx,1/21/2023,B,1
#7,M0mEd,1/22/2023,A,4
#10,FLTVg,1/22/2023,A,3
#19,dXXRB,1/22/2023,C,1
#11,P8Adq,1/23/2023,E,2
#7,SOIai,1/23/2023,A,
#4,XWFUm,1/23/2023,E,
#8,8Mg29,1/24/2023,D,
#18,a8Hys,1/24/2023,C,3
#4,zGUZh,1/24/2023,E,4
#6,XuW1w,1/24/2023,E,3
#6,81Fni,1/25/2023,E,3
#14,PMI8j,1/25/2023,B,3
#14,hgOSY,1/25/2023,D,2
#12,oRCMy,1/26/2023,E,2
#16,3GlOT,1/26/2023,D,2
#14,tg3I1,1/26/2023,E,2
#16,ytS9q,1/26/2023,D,1
#4,SCKar,1/27/2023,B,2
#19,nMil2,1/27/2023,C,2
#9,sPVfi,1/28/2023,D,2
#2,DUiuB,1/29/2023,B,4
#8,57C9Q,1/29/2023,D,2
#1,nnTMv,1/29/2023,B,3
#15,wcyNv,1/30/2023,B,1
#13,CR0Yb,1/30/2023,E,4
#4,t6rQu,1/30/2023,E,2
#3,AFlIK,1/30/2023,B,4
#1,bgD2B,1/31/2023,D,3
#2,BRwx6,1/31/2023,A,2
#16,p7jsD,1/31/2023,E,2
#9,Jc3sc,1/31/2023,B,3
#18,fmSaM,2/1/2023,B,3
#14,fskwN,2/2/2023,D,4
#6,ZobLy,2/2/2023,E,3
#5,HbCBQ,2/3/2023,D,1
#9,RaX9J,2/3/2023,B,2
#15,sFXE7,2/3/2023,E,3
#15,mHguw,2/3/2023,B,4
#1,qInrP,2/4/2023,B,3
#14,ClPaz,2/4/2023,A,
#14,X7ELA,2/4/2023,C,1
#16,Z3x2P,2/4/2023,C,4
#11,RZcdW,2/5/2023,C,3
#11,G8RSf,2/5/2023,C,1
#11,J2ads,2/5/2023,A,3
#7,nAjVS,2/5/2023,B,3
#1,4pQnZ,2/6/2023,D,2
#8,571hn,2/6/2023,A,3
#19,exvKL,2/6/2023,C,4
#18,hs80I,2/6/2023,C,
#3,HpN69,2/7/2023,A,3
#9,ZTFka,2/8/2023,E,3
#8,6e2uy,2/9/2023,A,4
#16,tzhBN,2/9/2023,A,3
#9,LLhFs,2/10/2023,B,
#2,Nd36p,2/10/2023,C,3
#19,LrX36,2/10/2023,C,3
#8,P91ox,2/11/2023,D,3
#11,MaAI5,2/11/2023,D,4
#9,8HkYk,2/12/2023,B,1
#16,h9sIr,2/12/2023,C,
#12,ZZuCX,2/13/2023,A,2
#7,u1BGb,2/13/2023,D,2
#14,KMURD,2/13/2023,B,2
#13,AjWFZ,2/13/2023,A,3
#19,aiuI6,2/14/2023,A,1
#14,dikzs,2/14/2023,A,2
#14,adhRB,2/15/2023,E,4
#17,rFtgm,2/16/2023,E,3
#1,207KU,2/16/2023,C,3
#18,RqVfD,2/16/2023,E,4
#12,VAUGZ,2/17/2023,D,1
#1,gjORd,2/18/2023,C,1
#19,iPxhG,2/18/2023,C,4
#1,dYq3I,2/19/2023,C,4
#18,LNV6G,2/20/2023,B,3
#14,TNp4A,2/20/2023,A,
#18,Opclf,2/20/2023,A,2
#4,IMDRV,2/21/2023,D,4
#4,uuG1O,2/22/2023,A,2
#3,uCOFM,2/22/2023,C,4
#18,2DPhE,2/22/2023,A,4
#1,GDTee,2/23/2023,D,2
#7,SoFOR,2/24/2023,D,2
#19,k0ujb,2/24/2023,A,
#5,sirTy,2/25/2023,E,4
#10,YYMNz,2/25/2023,B,3
#11,M45Mq,2/25/2023,B,1
#12,qMgfv,2/26/2023,B,3
#16,M3LKq,2/26/2023,D,2
#19,t4ImG,2/27/2023,B,3
#8,Wp1Og,2/27/2023,B,2
#19,JuNqi,2/27/2023,B,4
#17,rELP7,2/28/2023,B,4
#13,98cLZ,3/1/2023,A,4
#5,OW5hv,3/1/2023,B,1
#13,Use73,3/1/2023,B,3
#5,Bdk6d,3/1/2023,A,4
#6,O7MyV,3/2/2023,D,3
#8,ZS3o3,3/3/2023,B,1
#5,lfY1L,3/4/2023,D,1
#10,IiVOK,3/4/2023,E,4
#18,9sCkz,3/4/2023,E,3
#19,MM6U6,3/4/2023,D,
#16,aNCSd,3/5/2023,E,3
#18,uvX20,3/5/2023,B,3
#10,0m4VH,3/6/2023,E,4
#16,amRwq,3/7/2023,D,2
#18,uwWmZ,3/7/2023,A,3
#14,N4QP2,3/7/2023,A,1
#4,ovZAL,3/8/2023,E,3
#2,N1NMx,3/8/2023,A,1
#14,HMhzW,3/8/2023,D,4
#1,iZWUp,3/8/2023,D,1
#19,uVCHY,3/9/2023,D,2
#9,r03wn,3/9/2023,B,3
#16,DWtx2,3/10/2023,D,3
#9,kCcpL,3/10/2023,C,3
#17,QYQeD,3/10/2023,C,2
#19,byAjQ,3/10/2023,A,3
#18,ifMcq,3/11/2023,B,3
#2,Y9HmU,3/12/2023,B,3
#9,iNXa3,3/12/2023,E,
#4,nZzRH,3/12/2023,A,3
#2,iHtc5,3/12/2023,B,2
#13,DOUNa,3/13/2023,A,
#14,eSov6,3/13/2023,E,4
#15,CWFj6,3/13/2023,E,3
#1,6rkSZ,3/14/2023,C,4
#18,tcLOI,3/14/2023,C,3
#16,IwDAA,3/15/2023,B,4
#16,jQIUm,3/15/2023,D,4
#6,FakEq,3/16/2023,B,1
#18,MQif1,3/16/2023,C,1
#12,75bu6,3/16/2023,E,3
#19,Ck0Pk,3/17/2023,C,2
#9,s4MN3,3/17/2023,C,2
#15,4Qm7B,3/17/2023,C,2
#14,Umf19,3/18/2023,D,4
#19,q1WG9,3/18/2023,A,3
#10,uWunE,3/18/2023,D,2
#13,DFwZi,3/18/2023,E,3
#9,Wxgnd,3/19/2023,E,4
#16,KcpJn,3/19/2023,A,4
#1,YvGTT,3/19/2023,B,1
#4,nMhKb,3/19/2023,A,3
#6,1jtOA,3/20/2023,E,3
#12,BLKc4,3/21/2023,D,1
#16,4zeE5,3/21/2023,D,3
#12,eRkKp,3/22/2023,C,3
#2,Ujq9v,3/23/2023,C,1
#16,eoLnP,3/24/2023,B,
#18,Tr0Ow,3/24/2023,C,1
#18,gxawV,3/25/2023,E,3
#15,bO9WL,3/26/2023,E,3
#1,eKpZF,3/27/2023,A,4
#3,Sf3IG,3/27/2023,B,4
#7,HZrf7,3/27/2023,A,1
#7,WKht4,3/28/2023,A,2
#1,YDUdb,3/28/2023,A,3
#1,3D9rT,3/28/2023,A,3
#9,J7zzY,3/28/2023,B,4
#7,sQccR,3/29/2023,D,3
#15,jkbeE,3/30/2023,D,2
#18,qBzIQ,3/30/2023,E,1
#1,t2Wm4,3/30/2023,E,2
#15,PQXEe,3/30/2023,E,1
#18,9pH91,3/31/2023,D,4
#8,HqM0h,3/31/2023,E,3
#15,kqVTK,4/1/2023,A,3
#4,O6suD,4/2/2023,B,2
#6,hETq4,4/2/2023,E,4
#13,JGBtk,4/2/2023,B,
#18,yZGXO,4/3/2023,D,2
#17,i8cqf,4/3/2023,A,
#3,T9sx1,4/3/2023,A,1
#10,lN47s,4/3/2023,D,1
#16,lZNwO,4/4/2023,A,1
#9,3oJE5,4/4/2023,E,4
#9,V8lWv,4/5/2023,A,2
#16,YM2n6,4/5/2023,B,1
#12,kM3Vg,4/5/2023,E,2
#12,L1KIT,4/6/2023,A,2
#11,UwqCT,4/6/2023,B,1
#8,C4yAl,4/6/2023,A,2
#2,zKgmp,4/7/2023,B,2
#18,9lj2T,4/7/2023,B,1
#1,ZzqHY,4/7/2023,D,3
#13,6sTuT,4/8/2023,C,2
#2,X3igw,4/8/2023,D,3
#18,gJmwr,4/8/2023,E,3
#4,OY7fn,4/9/2023,A,4
#10,dPvlm,4/9/2023,C,3
#7,f42FW,4/10/2023,E,4
#8,oAB5W,4/10/2023,D,4
#1,8tOdU,4/10/2023,A,3
#6,iDMfN,4/11/2023,B,3
#7,YGqKf,4/12/2023,A,1
#3,ZycBv,4/12/2023,B,4
#17,KTJYg,4/13/2023,C,3
#8,8dRnT,4/13/2023,C,1
#17,urmpD,4/13/2023,E,3
#9,LSZ1Q,4/14/2023,B,2
#17,XuT4y,4/14/2023,D,1
#8,DShSp,4/14/2023,B,2
#12,2cj1y,4/14/2023,A,4
#16,IdRxY,4/15/2023,A,4
#2,ZDiRw,4/15/2023,C,3
#16,Urttl,4/15/2023,D,3
#5,sioDx,4/16/2023,C,4
#13,Meefc,4/16/2023,E,3
#8,chzYw,4/17/2023,E,4
#17,VVdJy,4/17/2023,C,1
#2,5VrpC,4/17/2023,D,1
#11,tsyki,4/17/2023,E,3
#13,bR95N,4/18/2023,D,1
#3,m0MWv,4/19/2023,B,3
#9,WsdnT,4/19/2023,D,4
#15,gg2nu,4/19/2023,C,4
#1,4PGzB,4/19/2023,C,1
#10,IGwBr,4/20/2023,E,1
#10,IgBrd,4/21/2023,A,4
#19,06LVW,4/21/2023,C,4
#7,ZpL3t,4/21/2023,B,1
#2,9uJgZ,4/21/2023,D,3
#19,ZtzcR,4/22/2023,D,3
#2,Uj1OR,4/22/2023,B,4
#3,zaYVl,4/23/2023,D,1
#11,gwukv,4/23/2023,A,3
#13,R3dBb,4/24/2023,D,2
#9,69wUg,4/25/2023,B,4
#4,oJqrp,4/26/2023,D,1
#10,Ca652,4/27/2023,B,1
#10,9Giqx,4/27/2023,D,4
#14,oPD8I,4/27/2023,C,4
#6,AP2G1,4/28/2023,B,4
#5,XC4jO,4/29/2023,D,3
#3,BIt6G,4/29/2023,C,4
#13,OGFx7,4/29/2023,B,
#18,S4NAN,4/30/2023,B,4
#1,ZCe0d,4/30/2023,D,4
#14,4jtlL,4/30/2023,E,3
#12,nvPh9,4/30/2023,D,4
